zone,borough
Allerton/Pelham Gardens,Bronx
Bedford Park,Bronx
Belmont,Bronx
Bronx Park,Bronx
Bronxdale,Bronx
City Island,Bronx
Claremont/Bathgate,Bronx
Co-Op City,Bronx
Country Club,Bronx
Crotona Park East,Bronx
East Concourse/Concourse Village,Bronx
East Tremont,Bronx
Eastchester,Bronx
Fordham South,Bronx
Highbridge,Bronx
Hunts Point,Bronx
Kingsbridge Heights,Bronx
Longwood,Bronx
Melrose South,Bronx
Morrisania/Melrose,Bronx
Mott Haven/Port Morris,Bronx
Mount Hope,Bronx
Norwood,Bronx
Parkchester,Bronx
Pelham Bay,Bronx
Pelham Bay Park,Bronx
Pelham Parkway,Bronx
Riverdale/North Riverdale/Fieldston,Bronx
Schuylerville/Edgewater Park,Bronx
Soundview/Bruckner,Bronx
Soundview/Castle Hill,Bronx
Spuyten Duyvil/Kingsbridge,Bronx
University Heights/Morris Heights,Bronx
Van Cortlandt Park,Bronx
Van Cortlandt Village,Bronx
Van Nest/Morris Park,Bronx
West Concourse,Bronx
West Farms/Bronx River,Bronx
Westchester Village/Unionport,Bronx
Williamsbridge/Olinville,Bronx
Woodlawn/Wakefield,Bronx
Bath Beach,Brooklyn
Bay Ridge,Brooklyn
Bedford,Brooklyn
Bensonhurst East,Brooklyn
Bensonhurst West,Brooklyn
Boerum Hill,Brooklyn
Borough Park,Brooklyn
Brighton Beach,Brooklyn
Brooklyn Heights,Brooklyn
Brooklyn Navy Yard,Brooklyn
Brownsville,Brooklyn
Bushwick North,Brooklyn
Bushwick South,Brooklyn
Canarsie,Brooklyn
Carroll Gardens,Brooklyn
Clinton Hill,Brooklyn
Cobble Hill,Brooklyn
Columbia Street,Brooklyn
Coney Island,Brooklyn
Crown Heights North,Brooklyn
Crown Heights South,Brooklyn
Cypress Hills,Brooklyn
DUMBO/Vinegar Hill,Brooklyn
Downtown Brooklyn/MetroTech,Brooklyn
Dyker Heights,Brooklyn
East Flatbush/Farragut,Brooklyn
East Flatbush/Remsen Village,Brooklyn
East New York,Brooklyn
East New York/Pennsylvania Avenue,Brooklyn
East Williamsburg,Brooklyn
Erasmus,Brooklyn
Flatbush/Ditmas Park,Brooklyn
Flatlands,Brooklyn
Fort Greene,Brooklyn
Gowanus,Brooklyn
Gravesend,Brooklyn
Greenpoint,Brooklyn
Homecrest,Brooklyn
Kensington,Brooklyn
Madison,Brooklyn
Manhattan Beach,Brooklyn
Marine Park/Floyd Bennett Field,Brooklyn
Marine Park/Mill Basin,Brooklyn
Midwood,Brooklyn
Ocean Hill,Brooklyn
Ocean Parkway South,Brooklyn
Park Slope,Brooklyn
Prospect Heights,Brooklyn
Prospect Park,Brooklyn
Prospect-Lefferts Gardens,Brooklyn
Red Hook,Brooklyn
Sheepshead Bay,Brooklyn
South Williamsburg,Brooklyn
Starrett City,Brooklyn
Stuyvesant Heights,Brooklyn
Sunset Park East,Brooklyn
Sunset Park West,Brooklyn
Williamsburg (North Side),Brooklyn
Williamsburg (South Side),Brooklyn
Windsor Terrace,Brooklyn
Newark Airport,EWR
Alphabet City,Manhattan
Battery Park,Manhattan
Battery Park City,Manhattan
Bloomingdale,Manhattan
Central Harlem,Manhattan
Central Harlem North,Manhattan
Central Park,Manhattan
Chinatown,Manhattan
Clinton East,Manhattan
Clinton West,Manhattan
East Chelsea,Manhattan
East Harlem North,Manhattan
East Harlem South,Manhattan
East Village,Manhattan
Financial District North,Manhattan
Financial District South,Manhattan
Flatiron,Manhattan
Garment District,Manhattan
Gramercy,Manhattan
Greenwich Village North,Manhattan
Greenwich Village South,Manhattan
Hamilton Heights,Manhattan
Highbridge Park,Manhattan
Hudson Sq,Manhattan
Inwood,Manhattan
Inwood Hill Park,Manhattan
Kips Bay,Manhattan
Lenox Hill East,Manhattan
Lenox Hill West,Manhattan
Lincoln Square East,Manhattan
Lincoln Square West,Manhattan
Little Italy/NoLiTa,Manhattan
Lower East Side,Manhattan
Manhattan Valley,Manhattan
Manhattanville,Manhattan
Marble Hill,Manhattan
Meatpacking/West Village West,Manhattan
Midtown Center,Manhattan
Midtown East,Manhattan
Midtown North,Manhattan
Midtown South,Manhattan
Morningside Heights,Manhattan
Murray Hill,Manhattan
Penn Station/Madison Sq West,Manhattan
Randalls Island,Manhattan
Roosevelt Island,Manhattan
Seaport,Manhattan
SoHo,Manhattan
Stuy Town/Peter Cooper Village,Manhattan
Sutton Place/Turtle Bay North,Manhattan
Times Sq/Theatre District,Manhattan
TriBeCa/Civic Center,Manhattan
Two Bridges/Seward Park,Manhattan
UN/Turtle Bay South,Manhattan
Union Sq,Manhattan
Upper East Side North,Manhattan
Upper East Side South,Manhattan
Upper West Side North,Manhattan
Upper West Side South,Manhattan
Washington Heights North,Manhattan
Washington Heights South,Manhattan
West Chelsea/Hudson Yards,Manhattan
West Village,Manhattan
World Trade Center,Manhattan
Yorkville East,Manhattan
Yorkville West,Manhattan
Astoria,Queens
Astoria Park,Queens
Auburndale,Queens
Baisley Park,Queens
Bay Terrace/Fort Totten,Queens
Bayside,Queens
Bellerose,Queens
Breezy Point/Fort Tilden/Riis Beach,Queens
Briarwood/Jamaica Hills,Queens
Cambria Heights,Queens
College Point,Queens
Corona,Queens
Douglaston,Queens
East Elmhurst,Queens
East Flushing,Queens
Elmhurst,Queens
Elmhurst/Maspeth,Queens
Far Rockaway,Queens
Flushing,Queens
Flushing Meadows-Corona Park,Queens
Forest Hills,Queens
Forest Park/Highland Park,Queens
Fresh Meadows,Queens
Glen Oaks,Queens
Glendale,Queens
Hammels/Arverne,Queens
Hillcrest/Pomonok,Queens
Hollis,Queens
Howard Beach,Queens
JFK Airport,Queens
Jackson Heights,Queens
Jamaica,Queens
Jamaica Estates,Queens
Kew Gardens,Queens
Kew Gardens Hills,Queens
LaGuardia Airport,Queens
Laurelton,Queens
Long Island City/Hunters Point,Queens
Long Island City/Queens Plaza,Queens
Maspeth,Queens
Middle Village,Queens
Murray Hill-Queens,Queens
North Corona,Queens
Oakland Gardens,Queens
Old Astoria,Queens
Ozone Park,Queens
Queens Village,Queens
Queensboro Hill,Queens
Queensbridge/Ravenswood,Queens
Rego Park,Queens
Richmond Hill,Queens
Ridgewood,Queens
Rockaway Park,Queens
Rosedale,Queens
Saint Albans,Queens
Saint Michaels Cemetery/Woodside,Queens
South Jamaica,Queens
South Ozone Park,Queens
Springfield Gardens North,Queens
Springfield Gardens South,Queens
Steinway,Queens
Sunnyside,Queens
Whitestone,Queens
Willets Point,Queens
Woodhaven,Queens
Woodside,Queens
Bloomfield/Emerson Hill,Staten Island
Mariners Harbor,Staten Island
New Dorp/Midland Beach,Staten Island
Saint George/New Brighton,Staten Island
South Beach/Dongan Hills,Staten Island
Outside of NYC,Unknown
Unknown,Unknown
